# AMD Radeon RX 5700 XT (RADV NAVI10) (radv Mesa 25.2.8-0ubuntu0.24.04.2), Vulkan, 1280x720, 900 timed frames per scene after 120 warm-up frames
scene,frames,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,segments,segment_cap,triangles,triangle_cap,materials,material_cap,effect_groups,effect_group_cap
empty-courtyard,900,4.664,4.625,5.325,5.516,5.728,0,0,0,0,0,0,0,0
empty-hall,900,4.671,4.570,5.216,5.384,5.631,0,0,0,0,0,0,0,0
vargr-idle,900,4.807,4.726,5.379,5.621,7.422,19,19,648,12000,1,2,0,2
vargr-paired-claws,900,4.952,4.911,5.706,6.002,6.924,19,19,648,12000,1,2,1,2
vargr-leap,900,5.009,4.921,5.715,5.935,10.227,19,19,648,12000,1,2,0,2
draugr-idle,900,4.848,4.796,5.513,5.703,5.907,17,17,1464,12000,1,2,0,4
draugr-spear,900,5.196,5.104,5.950,6.347,8.649,17,17,1464,12000,2,2,2,4
draugr-burial,900,5.034,4.948,5.682,5.868,6.337,17,17,1464,12000,2,2,2,4
draugr-requiem-final-stage,900,5.068,4.972,5.779,5.984,6.285,17,17,1464,12000,2,2,2,4
